Date: 03/08/2015	 Scientist Search 1.7
Data Retrieval Mode: medline, reflects file type source of PubMed data in following analysis.
Publication Type Selection: journal article, Affiliation Restriction: none, reflects search constraints of PubMed data in following analysis.
Keyword Mode Selection: none
Authors per Publication output type: summary

Year,Q0,Q1,Q2,Q2,Q2,Q3,Q4,Mean,Count,Sum,Variance
1953,1,1,1,1,1,2,17,1.61159728869181,102386,165005,0.940962527878884
1954,1,1,1,1,1,2,19,1.64018909770048,102804,168618,0.96773077627272
1955,1,1,1,1,1,2,21,1.66669838158759,105103,175175,1.02538567886164
1956,1,1,1,1,1,2,23,1.71167173603357,103892,177829,1.10368581654878
1957,1,1,1,1,1,2,19,1.74141574464551,108367,188712,1.12912558247858
1958,1,1,1,1,1,2,33,1.75220781175054,106327,186307,1.15931437185467
1959,1,1,1,1,1,2,17,1.78857025388015,107019,191411,1.19140506951612
1960,1,1,1,1,1,2,17,1.82482104591255,109665,200119,1.22312166245407
1961,1,1,1,1,1,2,19,1.85260713531771,118425,219395,1.31229265397484
1962,1,1,2,2,2,2,17,1.87952241965488,124712,234399,1.35519295942102
1963,1,1,2,2,2,2,23,1.91550532598452,140068,268301,1.45157356093488
1964,1,1,2,2,2,3,22,1.94867815877052,160458,312681,1.52695636638544
1965,1,1,2,2,2,2,23,1.93889501677629,173161,335741,1.49530464811655
1966,1,1,2,2,2,3,38,1.97812748682344,173414,343035,1.52393715361805
1967,1,1,2,2,2,3,23,2.03047184302187,184892,375418,1.55278931287679
1968,1,1,2,2,2,3,23,2.05417415618135,200280,411410,1.6074306491184
1969,1,1,2,2,2,3,25,2.09535667838736,207610,435017,1.68406735628325
1970,1,1,2,2,2,3,26,2.123434204602,210995,448034,1.7355163846316
1971,1,1,2,2,2,3,26,2.17662859422697,215554,469181,1.78555823381611
1972,1,1,2,2,2,3,31,2.21381327272974,220889,489007,1.8243407908146
1973,1,1,2,2,2,3,25,2.27592765810803,223439,508531,1.92880039784758
1974,1,1,2,2,2,3,26,2.32612900956669,227456,529092,2.00787734801607
1975,1,1,2,2,2,3,32,2.37412299318369,240306,570516,2.12883093397923
1976,1,1,2,2,2,3,33,2.43379350333716,243171,591828,2.23244901121835
1977,1,1,2,2,2,3,35,2.52447270739217,243271,614131,2.39743352777989
1978,1,1,2,2,2,3,38,2.57682584437939,250391,645214,2.6574353297227
1979,1,1,2,2,2,3,49,2.63588145955839,256790,676868,2.80825650621765
1980,1,1,2,2,2,4,39,2.71141525805248,259889,704667,2.94718185207506
